dTLB-loads,time,branch-load-misses,L1-dcache-load-misses,cpu-used,p
3164969085,3.342,56477178,137595847,1.438,2.53
3051526535,3.879,72222717,137167322,1.399,2.53
5574130822,12.254,97760924,269221550,1.0,5.87
5477410303,9.944,117208850,257410451,1.251,5.87
5515653328,8.699,100070529,247391151,1.351,5.87
5430600283,9.551,96606657,259171887,1.342,5.87
5408856007,7.959,100882190,252710771,1.453,5.87
5850046212,7.995,120245256,254777874,1.505,5.87
5693865616,7.566,98185909,251042774,1.544,5.87
5450452730,7.526,98483179,261568317,1.533,5.87
5778106084,9.001,110541142,252376196,1.475,5.87
5320859433,7.361,104217587,249912420,1.532,5.87
5947643882,7.596,95165377,256333940,1.565,5.87
5331278711,7.318,105716057,255077766,1.534,5.87
5407816305,7.216,94141878,246502102,1.534,5.87
5438272409,7.204,105361702,247550166,1.564,5.87
5314956416,7.223,107896210,251724864,1.566,5.87
5567416251,7.412,112892121,260349132,1.569,5.87
2075856626,0.892,28274700,62825638,1.031,0.67
2244903349,0.504,29260479,56211949,1.356,0.67
2321020879,0.531,29514803,58582282,1.442,0.67
2432269289,0.396,25511760,67469879,1.539,0.67
2252689587,0.531,25115890,68288588,1.387,0.67
2393689941,0.438,30678185,62701386,1.627,0.67
2758459129,0.49,27935545,71022618,1.691,0.67
2289987702,0.403,31491030,58415564,1.562,0.67
2631132963,0.484,29816309,68741483,1.682,0.67
2299450135,0.391,30220093,65819707,1.629,0.67
2229481430,0.422,28982209,73417327,1.595,0.67
2361507480,0.406,30378453,67650377,1.694,0.67
2511647859,0.449,29463726,64500414,1.679,0.67
2336288856,0.409,27329770,75798341,1.684,0.67
2379880127,0.456,29888852,71518518,1.716,0.67
2401291077,0.391,31267458,62844332,1.78,0.67
4388651416,2.599,49932991,115137176,1.024,1.95
4352052699,1.597,52178231,103904767,1.311,1.95
4179927004,1.25,49503396,110377829,1.456,1.95
4109120549,0.947,53068174,93320860,1.502,1.95
4390684372,1.458,49183554,115874760,1.479,1.95
4886250060,1.374,49547891,121800462,1.707,1.95
4618086059,0.92,53391248,111499032,1.884,1.95
4099571530,0.753,51136602,92092988,1.584,1.95
4250307697,1.23,52489553,99839904,1.559,1.95
4143517085,0.949,53533684,111467294,1.738,1.95
4241103519,0.823,50681112,108608265,1.78,1.95
4381842062,0.867,56565959,110689935,1.912,1.95
5286676486,1.459,57022854,136848917,2.132,1.95
4903804682,1.205,60132187,141629688,2.25,1.95
4354516094,0.877,55642810,113956900,2.044,1.95
4681011533,1.007,61850905,121765860,2.319,1.95
18905238162,14.879,289447004,431457072,1.034,11.67
17319922845,7.638,284760148,370505123,1.519,11.67
17043047563,5.536,286679406,340358457,1.785,11.67
17935345807,5.329,287240479,359649741,2.023,11.67
18080223357,8.085,283285300,402468402,1.583,11.67
17696731903,4.814,287898940,364901092,2.074,11.67
18569591547,4.57,294325934,384259673,2.388,11.67
18526144571,4.052,304850988,425253820,2.623,11.67
18526084200,6.013,299287985,426156430,2.121,11.67
20220606621,5.04,309334468,458293751,2.72,11.67
18461985784,3.971,297588122,422239753,2.646,11.67
20163676922,4.508,306405019,468943412,2.97,11.67
21590183232,6.521,312204607,540155283,2.858,11.67
22074807677,5.283,323470065,545118644,3.5,11.67
18702789165,3.783,305433023,449397242,3.018,11.67
20687084422,4.336,317237746,489689405,3.316,11.67
1728118260,0.52,29172755,48530300,1.004,0.46
1767666293,0.308,30992604,52691341,1.299,0.46
1818863289,0.26,31824603,42202224,1.352,0.46
1715561224,0.208,31442235,47884172,1.394,0.46
1703171167,0.237,32184015,49609616,1.321,0.46
1760203893,0.18,35114715,46990509,1.426,0.46
2031444036,0.176,27073219,45824726,1.575,0.46
2037540412,0.208,30874488,46831898,1.521,0.46
1866547632,0.183,28474140,52043493,1.414,0.46
1663277265,0.216,30083586,50099808,1.35,0.46
1930633807,0.186,29198474,50511831,1.497,0.46
1780008935,0.221,26912751,50537138,1.35,0.46
1883246769,0.258,33248936,49225420,1.409,0.46
1737646349,0.208,30551337,50583015,1.381,0.46
1980456161,0.183,26459923,52914717,1.482,0.46
1736717519,0.222,28790957,46147642,1.315,0.46
3966818487,1.483,62218593,86282491,1.455,1.3
3450203331,0.79,62821782,86266596,1.617,1.3
3477815934,0.61,63914060,91540660,1.816,1.3
3418175261,0.526,59588235,91986873,1.845,1.3
4025921567,0.455,62133768,90736146,2.136,1.3
3567527989,0.432,65308825,86382737,2.005,1.3
3427576334,0.445,63833006,85839244,1.919,1.3
3355898392,0.462,66146218,88280464,1.866,1.3
3499800184,0.481,63944706,86100478,1.99,1.3
3745439622,0.486,66180027,90505908,2.084,1.3
3440274922,0.455,58035844,93807721,1.918,1.3
3356403368,0.473,59843888,92906674,1.874,1.3
3487401132,0.468,62238401,94469217,1.948,1.3
3523629598,0.397,63635105,88025179,2.017,1.3
3478599002,0.411,64298440,87252187,1.945,1.3
3577967021,0.465,63123539,87672714,1.985,1.3
12043090005,6.038,208487925,303740494,1.779,5.39
12086338385,3.183,199608180,302135067,2.634,5.39
11817074427,2.229,203409991,305083746,3.085,5.39
12080833481,1.732,203448283,301265205,3.408,5.39
12205249465,1.513,208563424,302182560,3.553,5.39
12171798735,1.358,204325115,305410631,3.979,5.39
12029040809,1.301,204913780,301280141,4.102,5.39
11983297132,1.239,209152229,297905808,3.868,5.39
11731581299,1.336,208679674,295396106,3.838,5.39
11970764059,1.336,205995005,305444907,3.906,5.39
12012132898,1.424,208087908,304153887,3.843,5.39
11742235710,1.369,208292490,305985211,3.005,5.39
11918604439,1.281,203658410,292503529,4.071,5.39
11887453872,1.262,208428435,300503319,4.505,5.39
11734475713,1.25,207918329,297412866,4.231,5.39
11729394786,1.333,203417908,300674963,4.146,5.39
1731578718,0.606,28009949,32545229,1.149,0.46
1625068473,0.41,29605331,37653493,1.189,0.46
1817301211,0.317,30992040,38612188,1.368,0.46
1816013662,0.283,30479527,34910641,1.45,0.46
