LLC_loads,page_faults,Input Size,cpu_migrations,LLC_load_misses,cache_references,cycles,instructions,bus_cycles,ref_cycles,LLC_store_misses_percent,minor_faults,cpu_clock,branch_misses,branches_instructions,time,user_time,sys_time
3284647,69187,1,3,36141,14724826,621014381,732801808,29988173,683243776,1.459964115728143,69187,533.38,3483751,163470734,0.002,0.002,0.0
6407913,103546,1,11,453603,32868742,2204698840,4104408295,104063126,2208969569,2.872636536643608,103544,1310.07,10387250,643973540,0.335,0.7,0.075
3416804,69466,1,5,26482,13642699,532092385,646421756,30501383,687887271,0.7644338651888769,69466,532.2,3586256,156977876,0.002,0.002,0.0
3305560,69216,1,5,25475,14266604,543345720,669217944,30941900,696725000,0.7782257531494138,69216,532.25,3714780,166851583,0.002,0.0,0.002
3280094,69430,1,9,29440,15658391,658183314,778327996,29199950,650347765,1.0524962657470736,69430,540.24,3550094,163685839,0.002,0.002,0.0
6212074,110396,1,10,308739,39097478,2489717142,4328467253,117361538,2453882258,13.770049321265985,110390,1464.19,14113544,700829801,0.301,0.831,0.1
3981821,69869,1,7,123730,11463218,493628845,613059315,35171376,839134975,0.5601803117947555,69869,537.19,3736293,151578314,0.002,0.002,0.0
3735196,70141,1,10,54514,12945562,555892925,632917276,30864180,767276912,1.3999598717003952,70141,535.65,3515443,159328652,0.002,0.002,0.0
3392652,69512,1,7,26743,14833124,555817127,722146079,30789279,671259875,0.7517906686511205,69512,528.06,3707074,165751575,0.002,0.002,0.0
4014521,69786,1,6,87307,12082206,481218620,610443116,29729983,731315646,0.815074549010209,69786,532.78,3531620,150731827,0.002,0.002,0.0
3762731,69444,1,4,107481,13201386,555156327,657334384,29268895,733137862,0.6102711587500025,69443,531.51,3256025,149010080,0.002,0.002,0.0
3877816,69809,1,14,136903,12518405,504090401,615732372,36368459,825431441,2.217665130652313,69809,541.33,4280784,177157474,0.002,0.002,0.0
3390383,69470,1,7,79515,14292534,614738022,728357758,28839602,674372163,0.7820978166474061,69470,530.6,3295964,146839517,0.002,0.002,0.0
7576429,115416,1,19,543884,35574704,2968488411,4465933871,158545343,3092677087,8.107824790155169,115403,1812.81,14841320,776403455,0.308,1.104,0.178
11638850,193206,2,9,3349733,69307786,4850996863,10725770755,235973240,5246072210,23.59663597357606,193206,2568.33,16136238,1568765884,2.027,1.768,0.255
