cache-misses,time,branch-load-misses,dTLB-load-misses,cpu-cycles,L1-icache-load-misses,s
27277279,1.647,54417679,6137292,9184695748,70314444,1.04
50601838,5.268,62400217,15957407,17172068892,56000995,2.82
51861562,4.468,63801914,14873960,18255377506,73022839,2.82
53752463,3.801,57270018,15858351,16633623711,50308457,2.82
52833884,3.957,59513879,16508992,16849072684,59564222,2.82
51126899,3.547,59385953,15142449,17003225668,62374776,2.82
51232005,4.033,71085317,15632062,17437281850,80289278,2.82
50085790,3.374,58558643,14664279,16036760285,48765814,2.82
50810978,3.395,58570011,15951170,17669649588,51648839,2.82
50940980,3.756,88108482,14541038,17134200929,115046104,2.82
52021232,3.311,55727713,16051965,16289971004,54596554,2.82
51047189,3.299,59544996,16467806,16842114573,53818554,2.82
51280490,3.751,90778738,14916243,18323735010,125877954,2.82
53823402,3.688,87249443,15964507,18243170840,108811907,2.82
49937862,3.254,58993374,16016887,16579566452,51520569,2.82
51981342,3.342,56477178,15008113,16634884102,63374566,2.82
51969955,3.879,72222717,15835422,17942891266,85511778,2.82
107700972,12.254,97760924,37290669,32901579846,81813737,6.72
104130002,9.944,117208850,38625568,34334989979,110908777,6.72
106288216,8.699,100070529,40025653,33057000337,76083834,6.72
104566952,9.551,96606657,38664891,35710951159,77459105,6.72
104375187,7.959,100882190,39218270,32949767825,85555600,6.72
102981354,7.995,120245256,37174537,34221380278,118533534,6.72
105028093,7.566,98185909,39783471,33696873455,74708577,6.72
104462376,7.526,98483179,39723986,33285286400,84649227,6.72
103283463,9.001,110541142,39203121,36941198209,94544282,6.72
103699600,7.361,104217587,39424633,32436325981,81539348,6.72
103951597,7.596,95165377,37676562,34245361809,71248436,6.72
102876314,7.318,105716057,39263338,32728628775,89632677,6.72
102914810,7.216,94141878,38499031,32572456911,73454528,6.72
100178639,7.204,105361702,38760831,32568705421,75000356,6.72
102454622,7.223,107896210,39480425,32716083459,85269717,6.72
104471267,7.412,112892121,38747978,33737331063,104284835,6.72
14099500,0.892,28274700,879423,6184100981,38050476,0.24
13498738,0.504,29260479,903160,6564909841,35166733,0.24
15139041,0.531,29514803,1118155,7008830406,34652756,0.24
13738883,0.396,25511760,846707,7124250619,43082402,0.24
13812870,0.531,25115890,953055,6814854379,41075721,0.24
14560968,0.438,30678185,1148972,7585367794,39438928,0.24
14110535,0.49,27935545,1235963,8184225015,44753182,0.24
16024348,0.403,31491030,1261448,7294972595,44773409,0.24
16558262,0.484,29816309,1318638,8015131934,39531645,0.24
16801381,0.391,30220093,1414960,7521171283,44653721,0.24
16602530,0.422,28982209,1296232,7582223410,43416603,0.24
16991661,0.406,30378453,1340317,7908096651,43796939,0.24
18319952,0.449,29463726,1375363,7967733214,38712628,0.24
14666149,0.409,27329770,1451025,7861522445,46522658,0.24
18802197,0.456,29888852,1500090,7980302612,45249546,0.24
17421115,0.391,31267458,1649451,8217642257,42293281,0.24
18696798,2.599,49932991,1057715,10779148116,43658391,0.68
16709101,1.597,52178231,1177662,10718449616,47007681,0.68
17752343,1.25,49503396,1205150,10729232422,43943813,0.68
16231971,0.947,53068174,1017541,9903313450,40511187,0.68
18945907,1.458,49183554,1163206,11676376841,56058916,0.68
21049054,1.374,49547891,1639377,12759979090,49478560,0.68
17113024,0.92,53391248,1447414,12381420419,51472604,0.68
18734002,0.753,51136602,1107123,9752953918,39654683,0.68
19858305,1.23,52489553,1335720,11029021030,46205489,0.68
18790994,0.949,53533684,1503252,11635532066,56326129,0.68
18485974,0.823,50681112,1372270,11277671864,53601218,0.68
18168591,0.867,56565959,1531077,12072385717,52311927,0.68
