L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
2.89,0.03,1232502789,2.15,3023166906,1191310531,4810072974,1474136472,1377394801,0.5,2.16,0
2.05,0.02,1615981814,2.42,3555185586,1399885614,5513051507,1704289629,1494358979,0.47,2.43,0
3.16,0.02,1299496762,2.22,3279522198,1229928214,5082417945,1537947561,1366788934,0.5,2.23,0
2.66,0.02,1242792539,2.27,3230061838,1362448180,5109718995,1422316419,1565327755,0.49,2.28,0
2.16,0.02,1430450625,2.3,3144899119,1306561141,5131450036,1503510090,1462233957,0.48,2.31,0
2.05,0.02,1655414858,3.01,5750358159,1705375664,6951664497,2047106118,2194071201,1.33,3.02,1
2.27,0.02,1744828981,3.16,6182149937,1845908280,7208409703,2207068009,2243950023,1.36,3.17,1
2.22,0.02,1741181063,3.13,6147533060,1777806204,7204990920,2221982667,2240126201,1.35,3.14,1
1.78,0.01,2133283352,3.55,6659194185,2136014541,8058506443,2536144476,2669410128,1.34,3.56,1
1.96,0.02,1654047623,3.06,5562247397,1752080731,7042839448,2022075187,2151766568,1.34,3.07,1
1.55,0.01,1997861794,3.36,5847686761,1881067016,7642115625,2411327335,2379372449,1.33,3.36,1
1.54,0.02,1998468246,3.39,6113594602,1886462304,7708317357,2355042254,2551295064,1.36,3.4,1
2.02,0.02,1602031275,3.23,6289138085,1760169313,7375197217,2030608567,2253453972,1.52,3.24,1
1.38,0.02,2082674919,3.67,6209146767,2133808588,8269046752,2510500736,2524170342,1.42,3.68,1
1.96,0.01,2058425852,3.63,6700925563,2089732722,8234609904,2513477998,2519374541,1.51,3.64,1
2.05,0.01,1681078362,3.36,6144727329,1874514540,7622996162,2361390341,2204012055,1.54,3.37,1
2.0,0.02,1665901259,3.24,5941763431,1727367042,7337947211,2022764917,2130646518,1.49,3.25,1
1.48,0.01,2247926366,3.77,6724130747,2081177882,8450154846,2692886845,2598649873,1.51,3.78,1
1.45,0.02,2000524541,3.7,6201719066,2053533148,8302554625,2410659564,2572353325,1.56,3.71,1
1.99,0.02,1712932624,3.31,5670940784,1730755830,7559456578,2087354732,2284167242,1.52,3.32,1
1.85,0.02,1801413087,3.52,6449484416,2039900538,7949319350,2272484816,2325206540,1.5,3.53,1
0.91,0.01,3756212837,6.7,15373031764,3548960291,15652179362,4944142351,5031483462,4.58,6.71,2
1.08,0.01,3318952210,6.64,14663222841,3474427332,15179993179,4665220739,4798407895,4.77,6.65,2
1.08,0.01,3308678311,6.43,15378469745,3436155857,15053655417,4606038761,4714919265,4.63,6.43,2
1.12,0.01,3257726818,6.44,15090858196,3447317304,15100191789,4611824187,4796463233,4.67,6.45,2
1.17,0.01,3311422401,6.47,15440274179,3442455353,15158292151,4658675783,4757814904,4.69,6.48,2
1.02,0.01,3448207828,6.68,15086951244,3573213539,15409535966,4718600165,4861765428,4.71,6.69,2
1.09,0.01,3372946932,6.61,15215284804,3583849673,15410247197,4664393305,4854172193,4.69,6.61,2
1.09,0.01,3513876756,7.06,15531612421,3654160636,16179635914,5039758896,4879350920,4.96,7.07,2
1.26,0.01,3412006634,7.0,15888796049,3527023021,16058018449,4737856978,4864529146,5.07,7.01,2
1.08,0.01,3508746058,7.1,15624226598,3450033305,16254001927,4617540067,5023340196,5.08,7.11,2
1.22,0.01,3766874161,7.36,16085913016,3702754800,16720975088,5129883385,4943244553,5.09,7.37,2
0.93,0.01,3753763127,7.26,15568032828,3654507395,16709930333,4778346013,5398760401,5.01,7.27,2
1.1,0.01,3559496099,7.26,14774417254,3405758585,16612333264,4871290127,4808195446,5.23,7.27,2
1.18,0.01,3832699083,7.62,15926576258,3879385810,17064269997,5008733697,5060809385,5.26,7.64,2
1.14,0.01,3358249267,7.34,14673151169,3241092952,16459780762,4528761086,4724406819,5.56,7.36,2
1.09,0.01,3351722439,7.29,15012358123,3568519744,16463017951,4525568562,4910198606,5.38,7.31,2
2.0,0.01,2075202143,3.63,3755070735,2092974150,8385357707,1936606063,1927382262,1.93,3.63,0
2.17,0.01,2112684321,3.61,3888396813,1994694083,8265061397,1876877800,2041380497,1.89,3.62,0
1.98,0.01,2600099177,4.28,4721668990,2619336798,9749222962,2489149603,2347609953,1.98,4.29,0
2.18,0.01,2360161864,4.25,4644946606,2499077734,9641115374,2304013852,2346257712,2.04,4.25,0
2.08,0.01,2164822447,4.0,4341029602,2280188248,9123758830,2232925623,2235184404,1.98,4.01,0
2.43,0.01,2269897342,4.09,4241488869,2417519272,9367925624,2140845058,2186449808,2.06,4.1,0
2.74,0.01,2413777193,4.18,3905062757,2164053824,9590628118,1883665456,2136729923,2.31,4.19,0
3.19,0.01,2211215406,4.1,4331486799,2379420323,9376690843,1992633665,2128477465,2.2,4.11,0
